x,y,r
1260,214,53
1012,736,53
678,366,52
710,750,56
952,208,52
784,880,54
662,870,56
730,476,54
506,576,53
438,438,52
550,438,53
370,518,56
706,628,56
864,610,52
666,236,54
970,636,56
582,706,59
1088,220,53
916,798,51
274,574,51
830,724,51
412,292,56
446,730,54
672,978,52
230,686,56
954,406,53
1090,822,53
1442,234,63
1430,80,63
500,828,56
392,900,56
340,762,51
750,1090,53
1206,950,51
948,1026,51
220,350,63
524,968,53
854,466,53
88,982,61
76,806,59
82,266,56
1206,788,51
612,546,59
162,434,56
64,86,56
1464,1024,51
428,174,53
974,926,51
196,162,58
980,510,53
130,554,63
292,448,53
550,290,54
810,984,52
306,96,51
1074,982,51
328,228,51
396,632,51
752,142,51
244,1120,54
